minute,p_home_shot,p_away_shot,p_home_sot,p_away_sot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_red,p_away_red,p_home_penalty,p_away_penalty,p_home_corner,p_away_corner,p_var_review,p_any_injury,p_any_substitution,expected_home_possession,p_home_leading_after,p_draw_after,p_away_leading_after,expected_score_home_after,expected_score_away_after,most_likely_score_after
47,0.1485,0.141695,0.054345,0.052315,0.015675,0.0152,0.12512,0.1113,0.018035,0.015685,0.001305,0.00105,0.00231,0.001935,0.039195,0.035805,0.00546,0.001165,0.001165,0.5040416089581483,0.30177,0.39774,0.30049,0.671695,0.6658,0-0
48,0.149625,0.14084,0.05461,0.052785,0.016325,0.016,0.123425,0.111205,0.01792,0.016545,0.00103,0.001095,0.002185,0.002185,0.03958,0.03535,0.005615,0.0012,0.0012,0.5040484589581482,0.30426,0.392685,0.303055,0.68805,0.68182,0-0
49,0.148475,0.143715,0.053825,0.053495,0.015875,0.015815,0.124375,0.11046,0.01804,0.016295,0.00124,0.000955,0.00233,0.002315,0.03891,0.036665,0.00589,0.00115,0.00115,0.5040330839581482,0.306855,0.387405,0.30574,0.703965,0.69764,0-0
50,0.14994,0.140515,0.054835,0.05197,0.01591,0.01579,0.12536,0.110125,0.018135,0.01621,0.00114,0.000885,0.002355,0.002185,0.03991,0.035055,0.00555,0.00113,0.00113,0.5040084589581483,0.309405,0.382535,0.30806,0.7199,0.71343,0-0
51,0.138315,0.13074,0.05034,0.04853,0.014715,0.014715,0.11448,0.103015,0.016655,0.014885,0.000975,0.00102,0.002175,0.001905,0.03614,0.03234,0.00526,0.00117,0.00117,0.5040064839581483,0.311635,0.378215,0.31015,0.73465,0.728155,0-0
52,0.13801,0.13113,0.050075,0.047675,0.014665,0.01482,0.11552,0.102015,0.016705,0.014725,0.000955,0.000955,0.00221,0.00184,0.036895,0.032825,0.005125,0.00115,0.00115,0.5040045589581482,0.313895,0.37375,0.312355,0.749345,0.742985,0-0
53,0.138345,0.13004,0.05036,0.048635,0.01458,0.014705,0.115825,0.101265,0.01704,0.01512,0.00108,0.000885,0.002055,0.00205,0.036975,0.032045,0.005195,0.00115,0.00115,0.5039894339581483,0.315795,0.37002,0.314185,0.76396,0.757705,0-0
54,0.136175,0.13192,0.04923,0.04842,0.014225,0.01462,0.114875,0.10337,0.01669,0.01513,0.001005,0.00097,0.002015,0.00189,0.035715,0.032745,0.00506,0.001185,0.001185,0.5039890839581482,0.317505,0.366545,0.31595,0.778195,0.77235,0-0
55,0.13848,0.132565,0.04993,0.049605,0.01472,0.01481,0.11485,0.10235,0.016905,0.01459,0.000975,0.000885,0.00208,0.00206,0.036075,0.03279,0.005235,0.001085,0.067905,0.5039823589581482,0.319345,0.36289,0.317765,0.79294,0.787205,0-0
56,0.139455,0.13154,0.05143,0.048565,0.01526,0.01468,0.114735,0.1027,0.016505,0.015295,0.001,0.000845,0.002355,0.001975,0.037125,0.03315,0.00529,0.001285,0.073555,0.5039540839581482,0.32158,0.35894,0.31948,0.808235,0.801925,0-0
57,0.13811,0.132965,0.050735,0.049525,0.014795,0.015075,0.11692,0.10273,0.016815,0.01523,0.00113,0.00102,0.002135,0.002045,0.036935,0.033335,0.005435,0.00129,0.08151,0.5039411589581483,0.323365,0.355535,0.3211,0.823045,0.817015,0-0
