minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,p_scoreless_after,p_btts_after,expected_home_goals_after,expected_away_goals_after
89,1.0,0.115125,0.10627833333333334,0.011358333333333333,0.008995,0.15554,0.15494833333333333,0.03216,0.032356666666666666,0.036296666666666665,0.03453,0.38314166666666666,0.35975,0.2571083333333333,0.17272333333333334,0.39215,1.036065,0.8185333333333333
90,1.0,0.11493833333333334,0.10607,0.012075,0.009788333333333333,0.15494166666666667,0.15587166666666666,0.03445,0.034471666666666664,0.037283333333333335,0.03628166666666666,0.384385,0.35823333333333335,0.2573816666666667,0.16950333333333334,0.397905,1.04814,0.8283216666666666
90+1,1.0,0.11876666666666667,0.10854833333333333,0.012635,0.010103333333333334,0.15139,0.15201333333333333,0.03462166666666667,0.034741666666666664,0.04011833333333333,0.038895,0.38557,0.35679833333333333,0.25763166666666665,0.166135,0.4040066666666667,1.060775,0.838425
90+2,1.0,0.14399,0.13291333333333333,0.015631666666666665,0.012871666666666667,0.16384166666666666,0.16492833333333334,0.04235666666666667,0.04290666666666667,0.05181,0.04972833333333333,0.38714666666666664,0.35478,0.2580733333333333,0.16198833333333335,0.4114433333333333,1.0764066666666667,0.8512966666666667
90+3,0.9999933333333333,0.146135,0.13360666666666668,0.016056666666666667,0.012855,0.16673666666666667,0.16766333333333333,0.04502333333333333,0.04501666666666667,0.05529333333333333,0.053191666666666665,0.38870666666666664,0.3529333333333333,0.25836,0.15803,0.4189083333333333,1.0924633333333333,0.8641516666666667
90+4,0.999745,0.15061333333333332,0.13852166666666665,0.01705,0.013873333333333333,0.17087333333333332,0.17168666666666665,0.048648333333333335,0.04896166666666667,0.05711666666666667,0.05565666666666667,0.39035166666666665,0.350845,0.25880333333333333,0.15371833333333335,0.426855,1.1095133333333334,0.878025
90+5,0.994985,0.15787666666666667,0.14619333333333334,0.018195,0.014931666666666666,0.17595,0.176795,0.053531666666666665,0.053015,0.054566666666666666,0.053415,0.39211,0.3487616666666667,0.25912833333333335,0.14915666666666666,0.43522333333333335,1.1277083333333333,0.8929566666666666
90+6,0.9412616666666667,0.15050333333333332,0.13850666666666667,0.017261666666666668,0.014173333333333333,0.16653666666666667,0.16677666666666666,0.05055333333333333,0.05031833333333333,0.05214833333333333,0.050435,0.39372666666666667,0.34673333333333334,0.25954,0.145655,0.4428283333333333,1.14497,0.90713
90+7,0.7888583333333333,0.12623166666666666,0.116725,0.014491666666666667,0.012151666666666667,0.13991333333333333,0.13960166666666668,0.04232166666666667,0.04228666666666667,0.043438333333333336,0.042666666666666665,0.39504666666666666,0.34503333333333336,0.25992,0.14335833333333334,0.44900666666666667,1.1594616666666666,0.9192816666666667
90+8,0.563975,0.09145333333333333,0.0853,0.01066,0.008806666666666668,0.09946666666666666,0.10065666666666667,0.029973333333333334,0.030391666666666668,0.03151,0.030603333333333333,0.395955,0.3439933333333333,0.2600516666666667,0.14222166666666666,0.4528466666666667,1.1701216666666667,0.9280883333333333
